"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"235129_at"	3.15585301322767e-19	5.77202197206706e-24	32.1385269263454	43.7751197670353	3.86523529411765	"PPP1R1A"	"protein phosphatase 1 regulatory inhibitor subunit 1A"
"219093_at"	1.42525876538684e-18	5.2135665857772e-23	29.6876565227431	41.8259338861514	3.15829411764706	"PID1"	"phosphotyrosine interaction domain containing 1"
"238835_at"	2.6220037980349e-18	1.43868521154178e-22	28.6175568028868	40.9130459701219	6.02841176470588	"AVPR1A"	"arginine vasopressin receptor 1A"
"201425_at"	2.94072739155896e-17	2.15142378897775e-21	25.9388414797108	38.4417332660357	1.84900000000001	"ALDH2"	"aldehyde dehydrogenase 2 family (mitochondrial)"
"205152_at"	6.22596403248585e-17	5.69361136944293e-21	25.0331931252939	37.5400060737431	4.55223529411765	"SLC6A1"	"solute carrier family 6 member 1"
"210328_at"	1.5365792304988e-16	1.68623235171336e-20	24.0570619987843	36.5268505115748	5.18823529411765	"GNMT"	"glycine N-methyltransferase"
"1405_i_at"	1.53854280660769e-16	1.96978502903591e-20	-23.9201989148812	36.3812205687054	-4.17194117647058	"CCL5"	"C-C motif chemokine ligand 5"
"1556666_a_at"	3.32860876804023e-16	5.34520436370093e-20	23.0578512155317	35.4424909168358	2.83270588235295	"TTC6"	"tetratricopeptide repeat domain 6"
"213393_at"	3.32860876804023e-16	5.47919138772055e-20	23.0368262898058	35.4191372684665	1.60717647058824	"MFSD9"	"major facilitator superfamily domain containing 9"
"225747_at"	4.67173084213089e-16	8.54454657911457e-20	22.662408153845	34.9994211704681	1.89152941176471	"COQ10A"	"coenzyme Q10A"
"242680_at"	7.71594789703099e-16	1.55236263131854e-19	22.167894912338	34.4337396285598	6.23417647058824	"AVPR1A"	"arginine vasopressin receptor 1A"
"226878_at"	8.72864875597811e-16	1.9157528133834e-19	-21.9960044636277	34.2340135111867	-3.15223529411764	"HLA-DOA"	"major histocompatibility complex, class II, DO alpha"
"210915_x_at"	9.40208925691308e-16	2.23552190836525e-19	-21.8706112253206	34.087287124722	-3.09594117647058	"TRBC1"	"T cell receptor beta constant 1"
"209541_at"	9.97655472865803e-16	2.57762009788566e-19	21.7555086119132	33.9518318265828	3.87417647058824	"IGF1"	"insulin like growth factor 1"
"213502_x_at"	9.97655472865803e-16	2.73705205175803e-19	-21.7071572631472	33.8947094523855	-2.67305882352941	"GUSBP11"	"glucuronidase, beta pseudogene 11"
"206214_at"	1.03709806272773e-15	3.03494631982509e-19	-21.6241470280503	33.7963336701656	-3.89629411764705	"PLA2G7"	"phospholipase A2 group VII"
"230163_at"	1.04157377736863e-15	3.23854672432863e-19	21.5721202859852	33.7344776724962	1.90164705882353	"GFRA1"	"GDNF family receptor alpha 1"
